part_0,part_1,part_2,part_3,part_4,part_5,part_6,part_7,part_8,part_9
2.2969923,60.371254,1.5618789,14.1275,1.281024,27.559921,3.6232865,0.56994224,4.491075,31.26163
5.4e-05,5.4352975,0.001187336,4.67e-14,1.778461,0.8719982,22.51856,9.44e-08,22.476562,2.4596372
6.273284,0.001036187,0.008641512,10.565508,1.1101286,14.468526,6.4715066,1.6621481,11.721284,2.486708
13.563061,4.4314666,10.141268,0.5186765,1.8138355,20.045794,13.258977,1.7216281,6.126871,6.110634
3.75e-06,0.122392714,26.420298,0.014876562,0.07722146,0.6139653,0.07914765,2.4195335,30.720636,5.564816
8.14256,21.357584,1.452233,1.4158628,3.7704833,23.064188,12.257618,9.221372,2.346894,2.0377798
18.455542,0.7831328,11.370808,1.9497174,0.18879986,22.976233,2.68215,4.371199,5.3832636,0.001451494
15.7509,17.325348,2.4918678,1.5581336,0.15582457,3.155297,27.808218,22.436676,5.1413307,0.012197955
2.41e-05,21.293863,6.15e-05,4.697902,63.65454,0.015188919,0.5574179,11.400891,1.9848753,14.700602
12.701919,21.46181,6.8983808,10.494756,6.4297147,11.886873,8.88e-08,30.578947,0.001432815,35.566986
13.480252,0.013269364,14.04459,12.525334,0.001350252,0.22029874,1.6302681,2.23531,0.012171718,1.8108382
0.06205347,10.633802,6.19e-06,10.568533,5.394972,3.581035,1.5826293,4.6427317,13.688279,0.17629921
0.25523588,0.15270709,8.402705,2.3427954,0.13288197,21.710749,2.407857,4.862645,33.373287,12.838129
6.204579,17.47817,20.551485,28.206902,26.502512,6.2039948,9.01807,1.8748771,1.714656,11.065266
13.855817,5.2181478,16.995363,0.001441782,0.8569233,13.65822,4.197807,0.001377339,0.16826458,3.200645
8.5303135,0.073710196,2.79e-05,1.2211461,13.48467,0.079526246,21.678814,0.011864657,12.776209,0.0001149
0.43685204,9.708811,13.886264,1.7663743,19.620777,11.849029,10.960008,12.790829,10.390695,10.216351
0.012730564,2.0951784,14.109902,1.0250322,0.60900074,2.677581,30.662672,32.208626,3.091484,18.569431
1.2171044,26.068577,0.09610573,1.7820398,22.055046,27.365164,2.1651962,1.6386602,9.65e-05,0.00017802
1.8760581,0.4938035,0.27872035,0.069765836,22.817907,0.55349874,4.130928,0.16258565,9.3347025,2.9132738
8.27447,4.61e-08,6.217312,3.4029064,3.0971167,7.46e-08,4.7598166,12.787467,17.8051,11.44641
10.684048,1.213457,14.098902,0.01527193,0.014744098,1.5926994,1.7447704,9.945093,0.000143619,28.17337
2.276888,1.2331066,4.8e-14,0.15643175,11.97649,1.4919014,0.001223139,3.015379,2.8105128,19.889805
25.211376,3.724724,10.019448,62.416683,0.21847808,2.3340554,0.01066251,8.95e-05,10.796046,22.27492
1.144938,27.745178,7.9775124,6.2391524,3.684508,8.673769,12.455526,8.775974,26.489899,9.334933
1.7455465,1.8322777,0.52867734,0.00125104,20.985624,4.1271653,31.426413,16.822935,18.61804,23.058641
0.885211,1.7037605,0.014433585,5.2712765,5.8496842,21.339771,1.6719084,0.000123483,21.196405,4.23e-05
1.5863432,3.0464103,1.232911,0.13040122,13.599652,10.953618,0.1396596,2.7385802,8.343951,14.883283
0.04348557,1.5271678,1.9408482,25.230675,0.08260436,30.46302,12.481619,10.171696,21.867222,1.8008991
2.570333,0.001134164,10.000665,0.8160055,11.330189,2.12303,9.380767,25.299734,3.97e-05,8.857222
0.000315704,0.008467288,12.195673,12.013827,2.506831,3.7292228,2.943694,17.796726,15.331476,18.825129
0.14590716,9.858167,10.316957,18.988153,26.993778,4.5351295,8.53e-05,20.036402,1.734493,0.002400749
59.600994,25.54161,2.3146026,0.5900508,0.54604375,1.6481779,8.322666,7.7640357,8.194081,0.20224792
5.213028,1.4249219,27.321066,21.843607,6.79e-08,0.001359555,15.951596,20.95693,17.930738,0.3384153
0.000947084,11.370808,0.001140246,22.699162,1.4989554,0.010645088,0.00010208,3.83e-05,0.001350285,8.084961
4.2328954,2.4015408,1.1830419,3.0214329,1.4137697,12.218114,2.5690246,15.021843,0.17986472,16.983744
0.12069394,5.78e-05,1.7806193,0.014147663,2.300629,30.691107,9.833507,1.6701752,0.3235293,1.6e-13
19.991104,6.761889,1.0023397,12.099125,8.40423,1.6255984,24.239773,7.8778615,8.05995,16.440582
0.7594567,13.872615,1.7270124,0.17409973,4.148572,0.120813966,16.76531,17.4585,16.200869,11.214388
17.171501,5.11e-06,0.06500908,3.2210345,20.90101,12.262084,19.715244,0.001124748,1.38e-13,0.6211677
