Column 1,Column 2,% in Intersection
Symmetry (mean),Symmetry (se),0.0
Symmetry (mean),Fractal dimension (se),0.0
Symmetry (mean),Radius (worst),0.0
Symmetry (mean),Texture (worst),0.0
Symmetry (mean),Perimeter (worst),0.0
Symmetry (mean),Area (worst),0.0
Symmetry (mean),Smoothness (worst),85.01
Symmetry (mean),Compactness (worst),81.93
Symmetry (mean),Concavity (worst),73.95
Symmetry (mean),Concave points (worst),36.83
Symmetry (mean),Symmetry (worst),66.53
Symmetry (mean),Fractal dimension (worst),8.82
Fractal dimension (mean),Radius (se),0.0
Fractal dimension (mean),Texture (se),0.0
Fractal dimension (mean),Perimeter (se),0.0
Fractal dimension (mean),Area (se),0.0
Fractal dimension (mean),Smoothness (se),0.0
Fractal dimension (mean),Compactness (se),52.38
Fractal dimension (mean),Concavity (se),53.36
Fractal dimension (mean),Concave points (se),0.98
Fractal dimension (mean),Symmetry (se),24.79
Fractal dimension (mean),Fractal dimension (se),0.0
Fractal dimension (mean),Radius (worst),0.0
Fractal dimension (mean),Texture (worst),0.0
Fractal dimension (mean),Perimeter (worst),0.0
Fractal dimension (mean),Area (worst),0.0
Fractal dimension (mean),Smoothness (worst),8.54
Fractal dimension (mean),Compactness (worst),57.28
Fractal dimension (mean),Concavity (worst),57.84
Fractal dimension (mean),Concave points (worst),73.81
Fractal dimension (mean),Symmetry (worst),0.0
Fractal dimension (mean),Fractal dimension (worst),91.74
Radius (se),Texture (se),25.49
Radius (se),Perimeter (se),0.98
Radius (se),Area (se),0.0
Radius (se),Smoothness (se),0.0
Radius (se),Compactness (se),0.0
Radius (se),Concavity (se),43.84
Radius (se),Concave points (se),0.0
Radius (se),Symmetry (se),0.0
Radius (se),Fractal dimension (se),0.0
Radius (se),Radius (worst),0.0
Radius (se),Texture (worst),0.0
Radius (se),Perimeter (worst),0.0
Radius (se),Area (worst),0.0
Radius (se),Smoothness (worst),48.32
Radius (se),Compactness (worst),86.83
Radius (se),Concavity (worst),80.67
Radius (se),Concave points (worst),13.03
Radius (se),Symmetry (worst),91.6
Radius (se),Fractal dimension (worst),4.2
Texture (se),Perimeter (se),89.5
Texture (se),Area (se),0.0
Texture (se),Smoothness (se),0.0
Texture (se),Compactness (se),0.0
Texture (se),Concavity (se),0.56
Texture (se),Concave points (se),0.0
Texture (se),Symmetry (se),0.0
Texture (se),Fractal dimension (se),0.0
Texture (se),Radius (worst),0.0
Texture (se),Texture (worst),0.0
Texture (se),Perimeter (worst),0.0
Texture (se),Area (worst),0.0
Texture (se),Smoothness (worst),0.0
Texture (se),Compactness (worst),7.14
Texture (se),Concavity (worst),33.19
Texture (se),Concave points (worst),0.0
Texture (se),Symmetry (worst),1.54
Texture (se),Fractal dimension (worst),0.0
Perimeter (se),Area (se),0.0
Perimeter (se),Smoothness (se),0.0
Perimeter (se),Compactness (se),0.0
Perimeter (se),Concavity (se),0.0
Perimeter (se),Concave points (se),0.0
Perimeter (se),Symmetry (se),0.0
Perimeter (se),Fractal dimension (se),0.0
Perimeter (se),Radius (worst),0.0
Perimeter (se),Texture (worst),0.0
Perimeter (se),Perimeter (worst),0.0
Perimeter (se),Area (worst),0.0
Perimeter (se),Smoothness (worst),0.0
Perimeter (se),Compactness (worst),0.0
Perimeter (se),Concavity (worst),7.84
Perimeter (se),Concave points (worst),0.0
Perimeter (se),Symmetry (worst),0.0
Perimeter (se),Fractal dimension (worst),0.0
Area (se),Smoothness (se),0.0
Area (se),Compactness (se),0.0
Area (se),Concavity (se),0.0
Area (se),Concave points (se),0.0
Area (se),Symmetry (se),0.0
Area (se),Fractal dimension (se),0.0
Area (se),Radius (worst),74.79
Area (se),Texture (worst),92.86
Area (se),Perimeter (worst),11.9
Area (se),Area (worst),0.0
Area (se),Smoothness (worst),0.0
Area (se),Compactness (worst),0.0
Area (se),Concavity (worst),0.0
Area (se),Concave points (worst),0.0
Area (se),Symmetry (worst),0.0
Area (se),Fractal dimension (worst),0.0
Smoothness (se),Compactness (se),83.61
Smoothness (se),Concavity (se),78.01
Smoothness (se),Concave points (se),96.22
Smoothness (se),Symmetry (se),42.16
Smoothness (se),Fractal dimension (se),93.14
Smoothness (se),Radius (worst),0.0
Smoothness (se),Texture (worst),0.0
Smoothness (se),Perimeter (worst),0.0
Smoothness (se),Area (worst),0.0
Smoothness (se),Smoothness (worst),0.0
Smoothness (se),Compactness (worst),0.0
Smoothness (se),Concavity (worst),52.94
Smoothness (se),Concave points (worst),51.54
Smoothness (se),Symmetry (worst),0.0
Smoothness (se),Fractal dimension (worst),0.0
Compactness (se),Concavity (se),95.66
Compactness (se),Concave points (se),95.52
Compactness (se),Symmetry (se),89.36
Compactness (se),Fractal dimension (se),73.95
Compactness (se),Radius (worst),0.0
Compactness (se),Texture (worst),0.0
Compactness (se),Perimeter (worst),0.0
Compactness (se),Area (worst),0.0
Compactness (se),Smoothness (worst),10.36
Compactness (se),Compactness (worst),22.97
Compactness (se),Concavity (worst),66.53
Compactness (se),Concave points (worst),89.36
Compactness (se),Symmetry (worst),0.0
Compactness (se),Fractal dimension (worst),50.0
Concavity (se),Concave points (se),95.94
Concavity (se),Symmetry (se),86.69
Concavity (se),Fractal dimension (se),84.45
Concavity (se),Radius (worst),0.0
Concavity (se),Texture (worst),0.0
Concavity (se),Perimeter (worst),0.0
Concavity (se),Area (worst),0.0
Concavity (se),Smoothness (worst),52.24
Concavity (se),Compactness (worst),63.17
Concavity (se),Concavity (worst),97.76
Concavity (se),Concave points (worst),99.72
Concavity (se),Symmetry (worst),50.0
Concavity (se),Fractal dimension (worst),53.5
Concave points (se),Symmetry (se),71.85
Concave points (se),Fractal dimension (se),97.76
Concave points (se),Radius (worst),0.0
Concave points (se),Texture (worst),0.0
Concave points (se),Perimeter (worst),0.0
Concave points (se),Area (worst),0.0
Concave points (se),Smoothness (worst),0.0
Concave points (se),Compactness (worst),2.1
Concave points (se),Concavity (worst),58.96
Concave points (se),Concave points (worst),62.89
Concave points (se),Symmetry (worst),0.0
Concave points (se),Fractal dimension (worst),0.0
Symmetry (se),Fractal dimension (se),46.5
Symmetry (se),Radius (worst),0.0
Symmetry (se),Texture (worst),0.0
Symmetry (se),Perimeter (worst),0.0
Symmetry (se),Area (worst),0.0
Symmetry (se),Smoothness (worst),0.0
Symmetry (se),Compactness (worst),9.24
Symmetry (se),Concavity (worst),56.72
Symmetry (se),Concave points (worst),65.69
Symmetry (se),Symmetry (worst),0.0
Symmetry (se),Fractal dimension (worst),2.24
Fractal dimension (se),Radius (worst),0.0
Fractal dimension (se),Texture (worst),0.0
Fractal dimension (se),Perimeter (worst),0.0
Fractal dimension (se),Area (worst),0.0
Fractal dimension (se),Smoothness (worst),0.0
Fractal dimension (se),Compactness (worst),0.28
Fractal dimension (se),Concavity (worst),53.78
Fractal dimension (se),Concave points (worst),54.06
Fractal dimension (se),Symmetry (worst),0.0
Fractal dimension (se),Fractal dimension (worst),0.0
Radius (worst),Texture (worst),51.96
Radius (worst),Perimeter (worst),0.0
Radius (worst),Area (worst),0.0
Radius (worst),Smoothness (worst),0.0
Radius (worst),Compactness (worst),0.0
Radius (worst),Concavity (worst),0.0
Radius (worst),Concave points (worst),0.0
Radius (worst),Symmetry (worst),0.0
Radius (worst),Fractal dimension (worst),0.0
Texture (worst),Perimeter (worst),0.0
Texture (worst),Area (worst),0.0
Texture (worst),Smoothness (worst),0.0
Texture (worst),Compactness (worst),0.0
Texture (worst),Concavity (worst),0.0
Texture (worst),Concave points (worst),0.0
Texture (worst),Symmetry (worst),0.0
Texture (worst),Fractal dimension (worst),0.0
Perimeter (worst),Area (worst),0.0
Perimeter (worst),Smoothness (worst),0.0
Perimeter (worst),Compactness (worst),0.0
Perimeter (worst),Concavity (worst),0.0
Perimeter (worst),Concave points (worst),0.0
Perimeter (worst),Symmetry (worst),0.0
Perimeter (worst),Fractal dimension (worst),0.0
Area (worst),Smoothness (worst),0.0
Area (worst),Compactness (worst),0.0
Area (worst),Concavity (worst),0.0
Area (worst),Concave points (worst),0.0
Area (worst),Symmetry (worst),0.0
Area (worst),Fractal dimension (worst),0.0
Smoothness (worst),Compactness (worst),78.85
Smoothness (worst),Concavity (worst),74.79
Smoothness (worst),Concave points (worst),75.77
Smoothness (worst),Symmetry (worst),4.76
Smoothness (worst),Fractal dimension (worst),79.55
Compactness (worst),Concavity (worst),93.7
Compactness (worst),Concave points (worst),71.01
Compactness (worst),Symmetry (worst),77.73
Compactness (worst),Fractal dimension (worst),68.21
Concavity (worst),Concave points (worst),80.53
Concavity (worst),Symmetry (worst),69.89
Concavity (worst),Fractal dimension (worst),67.23
Concave points (worst),Symmetry (worst),0.98
Concave points (worst),Fractal dimension (worst),85.29
Symmetry (worst),Fractal dimension (worst),0.0
